# Sonora Bobcat evolution: the first 16 mass blocks, 0.0005 to 0.011 Msun, of
# evolution_tables/evo_tables+0.0/nc+0.0_co1.0_mass (cloudless, [M/H] = 0.0, solar C/O).
#
# Source: Marley, M. S., Saumon, D., Visscher, C. et al. (2021), "The Sonora Brown Dwarf
# Atmosphere and Evolution Models. I. Model Description and Application to Cloudless Atmospheres
# in Rainout Chemical Equilibrium", ApJ 920, 85.
# Data: "Sonora Bobcat: cloud-free, substellar atmosphere models, spectra, photometry, evolution,
# and chemistry", Zenodo record 5063476, doi:10.5281/zenodo.5063476, file
# evolution_and_photometery.tar.gz (sha256
# 2198426d1ca0e410fda7b63c3b7f45f3890a8d9f2fcf0a3a1e36e14185283ca5), retrieved 2026-09-23.
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0),
# https://creativecommons.org/licenses/by/4.0/.
#
# Changes: only what hyperion-fit's `giant_cooling` task reads is kept, lines 1-472 of the
# 1,490-line original (sha256 b9dcb99b4f21e9407e713a7a5eff1aac445859ad4e7a1094e31de0a07cc1c891):
# the column header and the blocks from 0.0005 to 0.011 Msun. Trailing whitespace is removed and
# these comment lines are added. No value is altered. The heavier blocks are left out because
# they burn deuterium, which neither this fit nor plan 06's cooling fit models.
#
# Columns, from the tables' README: mass in Msun (1.989e33 g), age in Gyr, log L/Lsun
# (log Lsun = 33.5827 in erg/s), Teff in K, log g in cm/s2, R/Rsun (6.9599e10 cm), log I in
# g cm2. Each block of rows is preceded by its number of rows.
 M/Msun   age(Gyr)  log L/Lsun  Teff(K)  log g  R/Rsun   log I
  24
 0.0005    0.0010     -5.361      631.   2.654  0.1743  49.4144
 0.0005    0.0020     -5.702      538.   2.716  0.1622  49.3782
 0.0005    0.0030     -5.912      485.   2.748  0.1565  49.3604
 0.0005    0.0040     -6.053      453.   2.768  0.1528  49.3488
 0.0005    0.0060     -6.216      419.   2.796  0.1481  49.3343
 0.0005    0.0080     -6.330      397.   2.815  0.1448  49.3243
 0.0005    0.0100     -6.413      381.   2.830  0.1423  49.3164
 0.0005    0.0150     -6.562      356.   2.858  0.1378  49.3014
 0.0005    0.0200     -6.679      337.   2.880  0.1344  49.2894
 0.0005    0.0300     -6.849      311.   2.909  0.1299  49.2729
 0.0005    0.0400     -6.978      292.   2.930  0.1269  49.2612
 0.0005    0.0600     -7.164      266.   2.958  0.1228  49.2450
 0.0005    0.0800     -7.302      249.   2.977  0.1202  49.2342
 0.0005    0.1000     -7.411      235.   2.991  0.1183  49.2260
 0.0005    0.1500     -7.609      213.   3.015  0.1150  49.2115
 0.0005    0.2000     -7.763      197.   3.032  0.1128  49.2009
 0.0005    0.3000     -7.971      177.   3.054  0.1099  49.1867
 0.0005    0.4000     -8.126      163.   3.070  0.1080  49.1766
 0.0005    0.6000     -8.342      146.   3.089  0.1056  49.1634
 0.0005    0.8000     -8.496      134.   3.101  0.1042  49.1552
 0.0005    1.0000     -8.617      126.   3.110  0.1031  49.1493
 0.0005    1.5000     -8.830      112.   3.124  0.1014  49.1396
 0.0005    2.0000     -8.994      103.   3.134  0.1003  49.1329
 0.0005    3.0000     -9.213       91.   3.146  0.0990  49.1252
  26
 0.0010    0.0010     -4.757      930.   3.024  0.1609  49.7035
 0.0010    0.0020     -5.109      785.   3.082  0.1507  49.6644
 0.0010    0.0030     -5.314      709.   3.109  0.1460  49.6460
 0.0010    0.0040     -5.463      657.   3.127  0.1429  49.6341
 0.0010    0.0060     -5.669      592.   3.150  0.1392  49.6190
 0.0010    0.0080     -5.812      550.   3.165  0.1368  49.6091
 0.0010    0.0100     -5.925      518.   3.176  0.1351  49.6020
 0.0010    0.0150     -6.127      466.   3.194  0.1324  49.5906
 0.0010    0.0200     -6.274      431.   3.206  0.1305  49.5828
 0.0010    0.0300     -6.439      396.   3.222  0.1282  49.5730
 0.0010    0.0400     -6.551      374.   3.234  0.1264  49.5658
 0.0010    0.0600     -6.704      346.   3.251  0.1239  49.5552
 0.0010    0.0800     -6.822      325.   3.264  0.1221  49.5470
 0.0010    0.1000     -6.918      310.   3.274  0.1207  49.5405
 0.0010    0.1500     -7.096      282.   3.292  0.1183  49.5293
 0.0010    0.2000     -7.235      262.   3.305  0.1165  49.5212
 0.0010    0.3000     -7.432      237.   3.322  0.1142  49.5097
 0.0010    0.4000     -7.580      219.   3.334  0.1126  49.5016
 0.0010    0.6000     -7.790      196.   3.350  0.1106  49.4910
 0.0010    0.8000     -7.946      180.   3.361  0.1092  49.4839
 0.0010    1.0000     -8.067      169.   3.369  0.1082  49.4784
 0.0010    1.5000     -8.282      150.   3.381  0.1067  49.4697
 0.0010    2.0000     -8.447      137.   3.390  0.1056  49.4637
 0.0010    3.0000     -8.667      122.   3.401  0.1043  49.4558
 0.0010    4.0000     -8.830      111.   3.409  0.1034  49.4499
 0.0010    6.0000     -9.054       98.   3.419  0.1022  49.4418
  28
 0.0015    0.0010     -4.403     1135.   3.192  0.1625  49.9186
 0.0015    0.0020     -4.759      958.   3.253  0.1515  49.8731
 0.0015    0.0030     -4.971      862.   3.282  0.1464  49.8512
 0.0015    0.0040     -5.124      798.   3.302  0.1432  49.8368
 0.0015    0.0060     -5.334      717.   3.325  0.1394  49.8190
 0.0015    0.0080     -5.483      664.   3.341  0.1369  49.8076
 0.0015    0.0100     -5.599      625.   3.352  0.1352  49.7994
 0.0015    0.0150     -5.802      562.   3.370  0.1325  49.7860
 0.0015    0.0200     -5.957      518.   3.382  0.1306  49.7767
 0.0015    0.0300     -6.159      465.   3.397  0.1283  49.7651
 0.0015    0.0400     -6.306      430.   3.408  0.1267  49.7571
 0.0015    0.0600     -6.476      393.   3.422  0.1247  49.7465
 0.0015    0.0800     -6.583      372.   3.432  0.1232  49.7388
 0.0015    0.1000     -6.665      356.   3.441  0.1220  49.7326
 0.0015    0.1500     -6.822      328.   3.456  0.1199  49.7213
 0.0015    0.2000     -6.948      307.   3.468  0.1183  49.7126
 0.0015    0.3000     -7.128      280.   3.483  0.1162  49.7008
 0.0015    0.4000     -7.264      260.   3.494  0.1147  49.6921
 0.0015    0.6000     -7.464      234.   3.510  0.1127  49.6803
 0.0015    0.8000     -7.614      216.   3.520  0.1113  49.6723
 0.0015    1.0000     -7.733      203.   3.528  0.1103  49.6662
 0.0015    1.5000     -7.952      180.   3.541  0.1087  49.6562
 0.0015    2.0000     -8.119      164.   3.550  0.1076  49.6494
 0.0015    3.0000     -8.338      146.   3.561  0.1063  49.6410
 0.0015    4.0000     -8.499      133.   3.568  0.1054  49.6352
 0.0015    6.0000     -8.722      118.   3.578  0.1042  49.6274
 0.0015    8.0000     -8.879      108.   3.584  0.1034  49.6222
 0.0015   10.0000     -9.001      101.   3.589  0.1029  49.6183
  29
 0.0020    0.0010     -4.143     1302.   3.296  0.1664  50.0790
 0.0020    0.0020     -4.502     1102.   3.365  0.1537  50.0244
 0.0020    0.0030     -4.717      992.   3.397  0.1481  49.9983
 0.0020    0.0040     -4.875      917.   3.418  0.1446  49.9817
 0.0020    0.0060     -5.086      824.   3.443  0.1405  49.9617
 0.0020    0.0080     -5.236      763.   3.460  0.1379  49.9490
 0.0020    0.0100     -5.353      718.   3.471  0.1361  49.9398
 0.0020    0.0150     -5.560      644.   3.490  0.1332  49.9248
 0.0020    0.0200     -5.719      592.   3.503  0.1312  49.9143
 0.0020    0.0300     -5.933      528.   3.518  0.1288  49.9017
 0.0020    0.0400     -6.084      487.   3.529  0.1273  49.8932
 0.0020    0.0600     -6.289      437.   3.543  0.1253  49.8822
 0.0020    0.0800     -6.412      409.   3.552  0.1240  49.8747
 0.0020    0.1000     -6.498      391.   3.559  0.1230  49.8688
 0.0020    0.1500     -6.647      361.   3.573  0.1211  49.8577
 0.0020    0.2000     -6.759      341.   3.583  0.1196  49.8490
 0.0020    0.3000     -6.928      312.   3.598  0.1176  49.8369
 0.0020    0.4000     -7.060      291.   3.609  0.1162  49.8281
 0.0020    0.6000     -7.252      263.   3.623  0.1142  49.8158
 0.0020    0.8000     -7.394      243.   3.633  0.1129  49.8074
 0.0020    1.0000     -7.507      229.   3.641  0.1119  49.8011
 0.0020    1.5000     -7.713      205.   3.654  0.1102  49.7901
 0.0020    2.0000     -7.872      188.   3.664  0.1090  49.7824
 0.0020    3.0000     -8.088      167.   3.675  0.1076  49.7729
 0.0020    4.0000     -8.247      153.   3.683  0.1066  49.7666
 0.0020    6.0000     -8.467      136.   3.693  0.1054  49.7583
 0.0020    8.0000     -8.626      124.   3.699  0.1046  49.7529
 0.0020   10.0000     -8.749      116.   3.704  0.1041  49.7489
